ID,score
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_1_0001000,5
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_2_0001000,4
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_3_0001000,5
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
nl_4_0001000,4
