ID,score
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_1_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_2_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_3_0010000,4
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_4_0010000,5
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
nl_5_0010000,4
