ID,score
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_1_0110000,1
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_2_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_3_0110000,4
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
nl_4_0110000,6
